Year,State,18-44 percentage,45-64 percentage,65-74 percentage,75+ percentage
2004.0,District of Columbia,1.4,13.2,29.7,20.7
2004.0,Florida,2.0,11.7,15.7,13.5
2004.0,Georgia,2.6,11.0,20.0,17.7
2004.0,Idaho,1.9,8.4,18.9,12.6
2004.0,Illinois,1.3,9.1,16.4,14.3
2004.0,Indiana,2.6,10.7,19.0,16.4
2004.0,Iowa,1.6,8.4,14.6,15.8
2004.0,Kansas,2.5,8.1,16.7,13.9
2004.0,Kentucky,2.6,10.2,18.9,15.5
2004.0,Louisiana,2.4,12.5,21.4,16.9
2004.0,Maine,3.2,9.8,15.3,12.9
2004.0,Maryland,2.9,8.6,20.2,17.8
2004.0,Massachusetts,1.8,7.5,14.9,11.6
2004.0,Michigan,2.5,11.5,15.6,16.8
2004.0,Minnesota,1.5,6.5,13.6,13.3
2004.0,Mississippi,3.6,13.8,22.0,18.9
2004.0,Missouri,2.3,10.4,18.2,13.1
2004.0,Montana,1.7,8.0,13.9,12.7
2004.0,Nebraska,1.7,8.5,14.8,16.1
2004.0,Nevada,1.5,10.1,14.8,17.3
2004.0,New Hampshire,1.8,8.5,17.3,17.1
2004.0,New Jersey,2.1,8.9,19.5,13.4
2004.0,New Mexico,2.2,8.9,16.2,14.1
2004.0,New York,2.0,11.1,19.0,16.2
2004.0,North Carolina,2.5,12.3,20.4,20.3
2004.0,North Dakota,1.2,7.4,14.9,15.5
2004.0,Ohio,2.9,10.2,21.6,12.9
2004.0,Oklahoma,2.5,11.9,17.6,15.9
2004.0,Oregon,2.5,8.9,15.5,12.5
2004.0,Pennsylvania,2.3,10.3,17.5,16.2
2004.0,Rhode Island,2.6,7.7,18.3,19.2
2004.0,South Carolina,2.5,12.1,22.2,16.1
2004.0,South Dakota,2.0,8.1,16.9,14.8
2004.0,Tennessee,2.9,13.1,17.1,14.7
2004.0,Texas,2.6,11.9,22.3,14.8
2004.0,Utah,2.2,6.5,16.1,15.1
2004.0,Vermont,2.0,6.7,14.1,10.5
2004.0,Virginia,1.9,10.8,18.7,15.6
2004.0,Washington,2.0,8.9,15.6,16.0
2004.0,West Virginia,3.6,14.3,22.8,21.4
2004.0,Wisconsin,1.3,7.8,15.4,13.1
2004.0,Wyoming,2.0,7.0,15.8,15.6
2004.0,Puerto Rico,2.7,17.5,24.1,22.8
2004.0,Virgin Islands of the U.S.,2.0,12.5,25.2,29.1
2005.0,Guam,,,,
2005.0,Alabama,2.9,14.2,23.8,16.6
2005.0,Alaska,1.4,5.7,12.6,
2005.0,Arizona,3.7,8.9,18.7,12.5
2005.0,Arkansas,2.6,12.6,15.2,14.2
2005.0,California,2.3,10.2,20.6,15.3
2005.0,Colorado,1.6,6.1,14.4,14.4
2005.0,Connecticut,2.3,8.8,14.6,12.0
2005.0,Delaware,3.5,11.2,18.5,17.5
2005.0,District of Columbia,1.7,12.5,20.5,13.7
2005.0,Florida,3.2,10.5,18.5,17.8
2005.0,Georgia,3.7,11.5,22.2,18.8
2005.0,Hawaii,2.4,9.9,16.1,15.9
2005.0,Idaho,1.9,9.9,17.7,15.7
2005.0,Illinois,2.3,12.2,20.9,13.8
2005.0,Indiana,2.4,11.3,22.3,17.6
2005.0,Iowa,1.9,8.8,14.8,16.6
2005.0,Kansas,2.2,9.3,17.0,15.5
2005.0,Kentucky,3.1,13.9,16.2,16.5
2005.0,Louisiana,2.7,13.5,23.8,18.5
2005.0,Maine,2.4,9.1,16.8,16.3
2005.0,Maryland,2.2,9.9,19.5,16.0
2005.0,Massachusetts,2.0,9.3,15.3,12.5
2005.0,Michigan,2.6,11.1,20.1,17.7
2005.0,Minnesota,1.6,7.4,14.8,16.1
2005.0,Mississippi,3.8,13.4,26.0,15.8
2005.0,Missouri,2.9,10.6,17.2,15.2
2005.0,Montana,1.8,6.6,12.8,14.0
2005.0,Nebraska,2.4,8.7,18.5,19.0
2005.0,Nevada,2.3,9.8,19.5,15.6
2005.0,New Hampshire,2.2,7.7,19.2,13.6
2005.0,New Jersey,2.1,10.7,19.1,16.7
2005.0,New Mexico,2.5,9.7,17.6,14.9
2005.0,New York,2.6,11.8,19.1,16.0
2005.0,North Carolina,2.3,12.9,20.0,19.3
2005.0,North Dakota,2.3,7.3,16.1,16.7
2005.0,Ohio,2.4,10.7,18.6,14.5
2005.0,Oklahoma,3.2,12.4,20.5,17.2
2005.0,Oregon,2.2,8.9,17.6,13.2
2005.0,Pennsylvania,2.9,9.4,20.0,16.7
2005.0,Rhode Island,2.1,8.1,17.0,13.6
2005.0,South Carolina,3.4,15.3,21.3,22.2
2005.0,South Dakota,1.7,8.0,15.5,16.3
2005.0,Tennessee,2.6,13.9,20.7,17.0
2005.0,Texas,2.1,14.1,20.0,14.7
2005.0,Utah,1.6,8.9,18.2,15.4
2005.0,Vermont,2.1,7.1,15.3,13.1
2005.0,Virginia,2.1,9.0,18.3,18.8
2005.0,Washington,2.0,9.2,15.5,13.8
2005.0,West Virginia,4.2,12.6,21.0,21.3
2005.0,Wisconsin,2.2,8.1,15.9,16.7
2005.0,Wyoming,2.1,7.9,18.9,14.3
2005.0,Puerto Rico,2.9,18.3,31.4,32.5
2005.0,Virgin Islands of the U.S.,2.6,11.2,24.8,27.6
2006.0,Guam,,,,
2006.0,Alabama,3.2,13.3,24.5,20.2
2006.0,Alaska,0.9,8.5,23.8,22.7
2006.0,Arizona,2.8,14.0,17.2,13.1
